------------------------------------------------------
    _______             __   _____
   / ____(_)___  ____ _/ /  / ___/_________  ________
  / /_  / / __ \/ __ `/ /   \__ \/ ___/ __ \/ ___/ _ \
 / __/ / / / / / /_/ / /   ___/ / /__/ /_/ / /  /  __/
/_/   /_/_/ /_/\__,_/_/   /____/\___/\____/_/   \___/
------------------------------------------------------
            [0m
|                                                         Metric |                                     Task |       Value |   Unit |
|                                                     error rate |            date-histogram-fixed-interval |           0 |      % |
|                                                 Min Throughput |    date-histogram-fixed-interval-with-tz |        1.47 |  ops/s |
|                                                Mean Throughput |    date-histogram-fixed-interval-with-tz |         1.5 |  ops/s |
|                                              Median Throughput |    date-histogram-fixed-interval-with-tz |         1.5 |  ops/s |
|                                                 Max Throughput |    date-histogram-fixed-interval-with-tz |         1.5 |  ops/s |
|                                      0th percentile throughput |    date-histogram-fixed-interval-with-tz |     1.47055 |     ms |
|                                     25th percentile throughput |    date-histogram-fixed-interval-with-tz |     1.49627 |     ms |
|                                     50th percentile throughput |    date-histogram-fixed-interval-with-tz |     1.49801 |     ms |
|                                     75th percentile throughput |    date-histogram-fixed-interval-with-tz |     1.49864 |     ms |
|                                    100th percentile throughput |    date-histogram-fixed-interval-with-tz |     1.49898 |     ms |
|                                         0th percentile latency |    date-histogram-fixed-interval-with-tz |     10.6139 |     ms |
|                                        10th percentile latency |    date-histogram-fixed-interval-with-tz |     51.9469 |     ms |
|                                        20th percentile latency |    date-histogram-fixed-interval-with-tz |     94.2937 |     ms |
|                                        25th percentile latency |    date-histogram-fixed-interval-with-tz |     121.895 |     ms |
|                                        30th percentile latency |    date-histogram-fixed-interval-with-tz |     154.301 |     ms |
|                                        40th percentile latency |    date-histogram-fixed-interval-with-tz |     224.928 |     ms |
|                                        50th percentile latency |    date-histogram-fixed-interval-with-tz |     314.676 |     ms |
|                                        60th percentile latency |    date-histogram-fixed-interval-with-tz |     411.102 |     ms |
|                                        70th percentile latency |    date-histogram-fixed-interval-with-tz |     517.174 |     ms |
|                                        75th percentile latency |    date-histogram-fixed-interval-with-tz |     579.396 |     ms |
|                                        80th percentile latency |    date-histogram-fixed-interval-with-tz |     639.934 |     ms |
|                                        90th percentile latency |    date-histogram-fixed-interval-with-tz |     812.526 |     ms |
|                                        99th percentile latency |    date-histogram-fixed-interval-with-tz |     1133.25 |     ms |
|                                      99.9th percentile latency |    date-histogram-fixed-interval-with-tz |     1408.04 |     ms |
|                                       100th percentile latency |    date-histogram-fixed-interval-with-tz |     1679.19 |     ms |
|                                   50th percentile service time |    date-histogram-fixed-interval-with-tz |     272.084 |     ms |
|                                   90th percentile service time |    date-histogram-fixed-interval-with-tz |     764.869 |     ms |
|                                   99th percentile service time |    date-histogram-fixed-interval-with-tz |     1046.77 |     ms |
|                                 99.9th percentile service time |    date-histogram-fixed-interval-with-tz |     1134.51 |     ms |
|                                  100th percentile service time |    date-histogram-fixed-interval-with-tz |     1206.41 |     ms |
|                                                     error rate |    date-histogram-fixed-interval-with-tz |           0 |      % |
|                                                 Min Throughput |                      auto-date-histogram |         1.5 |  ops/s |
|                                                Mean Throughput |                      auto-date-histogram |         1.5 |  ops/s |
|                                              Median Throughput |                      auto-date-histogram |         1.5 |  ops/s |
|                                                 Max Throughput |                      auto-date-histogram |         1.5 |  ops/s |
|                                      0th percentile throughput |                      auto-date-histogram |     1.50013 |     ms |
|                                     25th percentile throughput |                      auto-date-histogram |     1.50017 |     ms |
|                                     50th percentile throughput |                      auto-date-histogram |     1.50025 |     ms |
|                                     75th percentile throughput |                      auto-date-histogram |     1.50047 |     ms |
|                                    100th percentile throughput |                      auto-date-histogram |     1.50355 |     ms |
|                                         0th percentile latency |                      auto-date-histogram |     7.41798 |     ms |
|                                        10th percentile latency |                      auto-date-histogram |     23.8917 |     ms |
|                                        20th percentile latency |                      auto-date-histogram |     29.3056 |     ms |
|                                        25th percentile latency |                      auto-date-histogram |     31.6052 |     ms |
|                                        30th percentile latency |                      auto-date-histogram |     33.9478 |     ms |
|                                        40th percentile latency |                      auto-date-histogram |     40.2582 |     ms |
|                                        50th percentile latency |                      auto-date-histogram |      49.283 |     ms |
|                                        60th percentile latency |                      auto-date-histogram |     60.4671 |     ms |
|                                        70th percentile latency |                      auto-date-histogram |     75.2211 |     ms |
|                                        75th percentile latency |                      auto-date-histogram |     84.2481 |     ms |
|                                        80th percentile latency |                      auto-date-histogram |     94.0285 |     ms |
|                                        90th percentile latency |                      auto-date-histogram |     118.561 |     ms |
|                                        99th percentile latency |                      auto-date-histogram |     157.897 |     ms |
|                                      99.9th percentile latency |                      auto-date-histogram |     198.121 |     ms |
|                                       100th percentile latency |                      auto-date-histogram |     886.021 |     ms |
|                                   50th percentile service time |                      auto-date-histogram |       47.62 |     ms |
|                                   90th percentile service time |                      auto-date-histogram |     116.871 |     ms |
|                                   99th percentile service time |                      auto-date-histogram |     156.108 |     ms |
|                                 99.9th percentile service time |                      auto-date-histogram |     179.448 |     ms |
|                                  100th percentile service time |                      auto-date-histogram |     884.159 |     ms |
|                                                     error rate |                      auto-date-histogram |           0 |      % |
|                                                 Min Throughput |              auto-date-histogram-with-tz |        1.47 |  ops/s |
|                                                Mean Throughput |              auto-date-histogram-with-tz |         1.5 |  ops/s |
|                                              Median Throughput |              auto-date-histogram-with-tz |         1.5 |  ops/s |
|                                                 Max Throughput |              auto-date-histogram-with-tz |         1.5 |  ops/s |
|                                      0th percentile throughput |              auto-date-histogram-with-tz |      1.4721 |     ms |
|                                     25th percentile throughput |              auto-date-histogram-with-tz |     1.49623 |     ms |
|                                     50th percentile throughput |              auto-date-histogram-with-tz |       1.498 |     ms |
|                                     75th percentile throughput |              auto-date-histogram-with-tz |     1.49863 |     ms |
|                                    100th percentile throughput |              auto-date-histogram-with-tz |     1.49898 |     ms |
|                                         0th percentile latency |              auto-date-histogram-with-tz |     11.2766 |     ms |
|                                        10th percentile latency |              auto-date-histogram-with-tz |     59.4831 |     ms |
|                                        20th percentile latency |              auto-date-histogram-with-tz |     107.664 |     ms |
|                                        25th percentile latency |              auto-date-histogram-with-tz |     138.237 |     ms |
|                                        30th percentile latency |              auto-date-histogram-with-tz |     171.673 |     ms |
|                                        40th percentile latency |              auto-date-histogram-with-tz |     245.383 |     ms |
|                                        50th percentile latency |              auto-date-histogram-with-tz |     341.746 |     ms |
|                                        60th percentile latency |              auto-date-histogram-with-tz |     440.157 |     ms |
|                                        70th percentile latency |              auto-date-histogram-with-tz |     564.815 |     ms |
|                                        75th percentile latency |              auto-date-histogram-with-tz |     622.489 |     ms |
|                                        80th percentile latency |              auto-date-histogram-with-tz |     694.311 |     ms |
|                                        90th percentile latency |              auto-date-histogram-with-tz |     868.607 |     ms |
|                                        99th percentile latency |              auto-date-histogram-with-tz |     1211.18 |     ms |
|                                      99.9th percentile latency |              auto-date-histogram-with-tz |     1625.58 |     ms |
|                                       100th percentile latency |              auto-date-histogram-with-tz |      2121.2 |     ms |
|                                   50th percentile service time |              auto-date-histogram-with-tz |     280.559 |     ms |
|                                   90th percentile service time |              auto-date-histogram-with-tz |     800.945 |     ms |
|                                   99th percentile service time |              auto-date-histogram-with-tz |     1106.94 |     ms |
|                                 99.9th percentile service time |              auto-date-histogram-with-tz |     1194.26 |     ms |
|                                  100th percentile service time |              auto-date-histogram-with-tz |     1247.37 |     ms |
|                                                     error rate |              auto-date-histogram-with-tz |           0 |      % |


-----------------------------------
[INFO] SUCCESS (took 19689 seconds)
-----------------------------------
kec2-user@ip-172-31-43-11:~/osb/opensearch-benchmark-workloads\[?2004h(.venv) [ec2-user@ip-172-31-43-11 opensearch-benchmark-workloads]$ 
[?2004lkec2-user@ip-172-31-43-11:~/osb/opensearch-benchmark-workloads\[?2004h(.venv) [ec2-user@ip-172-31-43-11 opensearch-benchmark-workloads]$ 
[?2004lkec2-user@ip-172-31-43-11:~/osb/opensearch-benchmark-workloads\[?2004h(.venv) [ec2-user@ip-172-31-43-11 opensearch-benchmark-workloads]$ eneccceuhbvgiblllkrcbekbcgrfejehtihnrhejcrrn
[?2004lbash: eneccceuhbvgiblllkrcbekbcgrfejehtihnrhejcrrn: command not found
kec2-user@ip-172-31-43-11:~/osb/opensearch-benchmark-workloads\[?2004h(.venv) [ec2-user@ip-172-31-43-11 opensearch-benchmark-workloads]$ s[Ksc[K[Kcd[K[K
