|                                                         Metric |                                     Task |       Value |   Unit |
|                                     25th percentile throughput |    date-histogram-fixed-interval-with-tz |     1.50016 |     ms |
|                                     50th percentile throughput |    date-histogram-fixed-interval-with-tz |     1.50024 |     ms |
|                                     75th percentile throughput |    date-histogram-fixed-interval-with-tz |     1.50045 |     ms |
|                                    100th percentile throughput |    date-histogram-fixed-interval-with-tz |     1.50346 |     ms |
|                                         0th percentile latency |    date-histogram-fixed-interval-with-tz |     5.58145 |     ms |
|                                        10th percentile latency |    date-histogram-fixed-interval-with-tz |     11.4193 |     ms |
|                                        20th percentile latency |    date-histogram-fixed-interval-with-tz |     15.3768 |     ms |
|                                        25th percentile latency |    date-histogram-fixed-interval-with-tz |     17.2241 |     ms |
|                                        30th percentile latency |    date-histogram-fixed-interval-with-tz |     19.4058 |     ms |
|                                        40th percentile latency |    date-histogram-fixed-interval-with-tz |     23.7223 |     ms |
|                                        50th percentile latency |    date-histogram-fixed-interval-with-tz |      29.167 |     ms |
|                                        60th percentile latency |    date-histogram-fixed-interval-with-tz |     35.4019 |     ms |
|                                        70th percentile latency |    date-histogram-fixed-interval-with-tz |     43.0589 |     ms |
|                                        75th percentile latency |    date-histogram-fixed-interval-with-tz |     47.6381 |     ms |
|                                        80th percentile latency |    date-histogram-fixed-interval-with-tz |     52.3777 |     ms |
|                                        90th percentile latency |    date-histogram-fixed-interval-with-tz |     64.8766 |     ms |
|                                        99th percentile latency |    date-histogram-fixed-interval-with-tz |     88.8395 |     ms |
|                                      99.9th percentile latency |    date-histogram-fixed-interval-with-tz |     105.723 |     ms |
|                                       100th percentile latency |    date-histogram-fixed-interval-with-tz |     115.093 |     ms |
|                                   50th percentile service time |    date-histogram-fixed-interval-with-tz |     27.6611 |     ms |
|                                   90th percentile service time |    date-histogram-fixed-interval-with-tz |     63.4208 |     ms |
|                                   99th percentile service time |    date-histogram-fixed-interval-with-tz |     87.2214 |     ms |
|                                 99.9th percentile service time |    date-histogram-fixed-interval-with-tz |     104.293 |     ms |
|                                  100th percentile service time |    date-histogram-fixed-interval-with-tz |     113.004 |     ms |
|                                                     error rate |    date-histogram-fixed-interval-with-tz |           0 |      % |
|                                                 Min Throughput |                      auto-date-histogram |         1.5 |  ops/s |
|                                                Mean Throughput |                      auto-date-histogram |         1.5 |  ops/s |
|                                              Median Throughput |                      auto-date-histogram |         1.5 |  ops/s |
|                                                 Max Throughput |                      auto-date-histogram |         1.5 |  ops/s |
|                                      0th percentile throughput |                      auto-date-histogram |     1.50015 |     ms |
|                                     25th percentile throughput |                      auto-date-histogram |      1.5002 |     ms |
|                                     50th percentile throughput |                      auto-date-histogram |     1.50029 |     ms |
|                                     75th percentile throughput |                      auto-date-histogram |     1.50053 |     ms |
|                                    100th percentile throughput |                      auto-date-histogram |     1.50409 |     ms |
|                                         0th percentile latency |                      auto-date-histogram |     5.30941 |     ms |
|                                        10th percentile latency |                      auto-date-histogram |     9.83834 |     ms |
|                                        20th percentile latency |                      auto-date-histogram |     12.9356 |     ms |
|                                        25th percentile latency |                      auto-date-histogram |     14.2178 |     ms |
|                                        30th percentile latency |                      auto-date-histogram |     15.2322 |     ms |
|                                        40th percentile latency |                      auto-date-histogram |     17.3918 |     ms |
|                                        50th percentile latency |                      auto-date-histogram |     19.9687 |     ms |
|                                        60th percentile latency |                      auto-date-histogram |     23.4201 |     ms |
|                                        70th percentile latency |                      auto-date-histogram |     27.9479 |     ms |
|                                        75th percentile latency |                      auto-date-histogram |     30.5927 |     ms |
|                                        80th percentile latency |                      auto-date-histogram |     33.7667 |     ms |
|                                        90th percentile latency |                      auto-date-histogram |     41.8795 |     ms |
|                                        99th percentile latency |                      auto-date-histogram |     65.2742 |     ms |
|                                      99.9th percentile latency |                      auto-date-histogram |     81.9621 |     ms |
|                                       100th percentile latency |                      auto-date-histogram |     84.3501 |     ms |
|                                   50th percentile service time |                      auto-date-histogram |     18.4389 |     ms |
|                                   90th percentile service time |                      auto-date-histogram |     40.2541 |     ms |
|                                   99th percentile service time |                      auto-date-histogram |     63.8575 |     ms |
|                                 99.9th percentile service time |                      auto-date-histogram |     80.4501 |     ms |
|                                  100th percentile service time |                      auto-date-histogram |     83.2803 |     ms |
|                                                     error rate |                      auto-date-histogram |           0 |      % |
|                                                 Min Throughput |              auto-date-histogram-with-tz |         1.5 |  ops/s |
|                                                Mean Throughput |              auto-date-histogram-with-tz |         1.5 |  ops/s |
|                                              Median Throughput |              auto-date-histogram-with-tz |         1.5 |  ops/s |
|                                                 Max Throughput |              auto-date-histogram-with-tz |         1.5 |  ops/s |
|                                      0th percentile throughput |              auto-date-histogram-with-tz |     1.50012 |     ms |
|                                     25th percentile throughput |              auto-date-histogram-with-tz |     1.50016 |     ms |
|                                     50th percentile throughput |              auto-date-histogram-with-tz |     1.50023 |     ms |
|                                     75th percentile throughput |              auto-date-histogram-with-tz |     1.50044 |     ms |
|                                    100th percentile throughput |              auto-date-histogram-with-tz |     1.50334 |     ms |
|                                         0th percentile latency |              auto-date-histogram-with-tz |     6.69089 |     ms |
|                                        10th percentile latency |              auto-date-histogram-with-tz |      14.696 |     ms |
|                                        20th percentile latency |              auto-date-histogram-with-tz |     18.4045 |     ms |
|                                        25th percentile latency |              auto-date-histogram-with-tz |     20.3848 |     ms |
|                                        30th percentile latency |              auto-date-histogram-with-tz |     22.4192 |     ms |
|                                        40th percentile latency |              auto-date-histogram-with-tz |     27.1171 |     ms |
|                                        50th percentile latency |              auto-date-histogram-with-tz |     33.5941 |     ms |
|                                        60th percentile latency |              auto-date-histogram-with-tz |     40.7066 |     ms |
|                                        70th percentile latency |              auto-date-histogram-with-tz |     49.3759 |     ms |
|                                        75th percentile latency |              auto-date-histogram-with-tz |     53.6477 |     ms |
|                                        80th percentile latency |              auto-date-histogram-with-tz |     57.6606 |     ms |
|                                        90th percentile latency |              auto-date-histogram-with-tz |     68.6472 |     ms |
|                                        99th percentile latency |              auto-date-histogram-with-tz |     93.5647 |     ms |
|                                      99.9th percentile latency |              auto-date-histogram-with-tz |     113.051 |     ms |
|                                       100th percentile latency |              auto-date-histogram-with-tz |     127.313 |     ms |
|                                   50th percentile service time |              auto-date-histogram-with-tz |     32.0718 |     ms |
|                                   90th percentile service time |              auto-date-histogram-with-tz |     67.1303 |     ms |
|                                   99th percentile service time |              auto-date-histogram-with-tz |      92.114 |     ms |
|                                 99.9th percentile service time |              auto-date-histogram-with-tz |     111.797 |     ms |
|                                  100th percentile service time |              auto-date-histogram-with-tz |     125.987 |     ms |
|                                                     error rate |              auto-date-histogram-with-tz |           0 |      % |

[WARNING] Error rate is 91.47 for operation 'index'. Please check the logs.

----------------------------------
[INFO] SUCCESS (took 6813 seconds)
----------------------------------
kec2-user@ip-172-31-32-79:~/osb/opensearch-benchmark-workloads\[?2004h(.venv) (.venv) [ec2-user@ip-172-31-32-79 opensearch-benchmark-workloads]$ [K(.venv) (.venv) [ec2-user@ip-172-31-32-79 opensearch-benchmark-workloads]$ sc[K[Kls[K[K
