    _______             __   _____
   / ____(_)___  ____ _/ /  / ___/_________  ________
  / /_  / / __ \/ __ `/ /   \__ \/ ___/ __ \/ ___/ _ \
 / __/ / / / / / /_/ / /   ___/ / /__/ /_/ / /  /  __/
/_/   /_/_/ /_/\__,_/_/   /____/\___/\____/_/   \___/
------------------------------------------------------
            [0m
|                                                         Metric |                                     Task |       Value |   Unit |
|                                 99.9th percentile service time |            date-histogram-fixed-interval |     26.4604 |     ms |
|                                  100th percentile service time |            date-histogram-fixed-interval |     33.7945 |     ms |
|                                                     error rate |            date-histogram-fixed-interval |           0 |      % |
|                                                 Min Throughput |    date-histogram-fixed-interval-with-tz |        1.47 |  ops/s |
|                                                Mean Throughput |    date-histogram-fixed-interval-with-tz |         1.5 |  ops/s |
|                                              Median Throughput |    date-histogram-fixed-interval-with-tz |         1.5 |  ops/s |
|                                                 Max Throughput |    date-histogram-fixed-interval-with-tz |         1.5 |  ops/s |
|                                      0th percentile throughput |    date-histogram-fixed-interval-with-tz |     1.47118 |     ms |
|                                     25th percentile throughput |    date-histogram-fixed-interval-with-tz |     1.49615 |     ms |
|                                     50th percentile throughput |    date-histogram-fixed-interval-with-tz |     1.49793 |     ms |
|                                     75th percentile throughput |    date-histogram-fixed-interval-with-tz |     1.49859 |     ms |
|                                    100th percentile throughput |    date-histogram-fixed-interval-with-tz |     1.49894 |     ms |
|                                         0th percentile latency |    date-histogram-fixed-interval-with-tz |     9.33265 |     ms |
|                                        10th percentile latency |    date-histogram-fixed-interval-with-tz |     47.6977 |     ms |
|                                        20th percentile latency |    date-histogram-fixed-interval-with-tz |     89.8772 |     ms |
|                                        25th percentile latency |    date-histogram-fixed-interval-with-tz |     112.548 |     ms |
|                                        30th percentile latency |    date-histogram-fixed-interval-with-tz |     137.551 |     ms |
|                                        40th percentile latency |    date-histogram-fixed-interval-with-tz |     197.723 |     ms |
|                                        50th percentile latency |    date-histogram-fixed-interval-with-tz |     265.581 |     ms |
|                                        60th percentile latency |    date-histogram-fixed-interval-with-tz |      342.08 |     ms |
|                                        70th percentile latency |    date-histogram-fixed-interval-with-tz |     434.453 |     ms |
|                                        75th percentile latency |    date-histogram-fixed-interval-with-tz |     483.708 |     ms |
|                                        80th percentile latency |    date-histogram-fixed-interval-with-tz |     542.574 |     ms |
|                                        90th percentile latency |    date-histogram-fixed-interval-with-tz |     692.408 |     ms |
|                                        99th percentile latency |    date-histogram-fixed-interval-with-tz |      927.93 |     ms |
|                                      99.9th percentile latency |    date-histogram-fixed-interval-with-tz |     1110.26 |     ms |
|                                       100th percentile latency |    date-histogram-fixed-interval-with-tz |     1286.21 |     ms |
|                                   50th percentile service time |    date-histogram-fixed-interval-with-tz |     245.131 |     ms |
|                                   90th percentile service time |    date-histogram-fixed-interval-with-tz |     665.046 |     ms |
|                                   99th percentile service time |    date-histogram-fixed-interval-with-tz |     900.191 |     ms |
|                                 99.9th percentile service time |    date-histogram-fixed-interval-with-tz |     982.924 |     ms |
|                                  100th percentile service time |    date-histogram-fixed-interval-with-tz |     1033.34 |     ms |
|                                                     error rate |    date-histogram-fixed-interval-with-tz |           0 |      % |
|                                                 Min Throughput |                      auto-date-histogram |         1.5 |  ops/s |
|                                                Mean Throughput |                      auto-date-histogram |         1.5 |  ops/s |
|                                              Median Throughput |                      auto-date-histogram |         1.5 |  ops/s |
|                                                 Max Throughput |                      auto-date-histogram |         1.5 |  ops/s |
|                                      0th percentile throughput |                      auto-date-histogram |     1.50009 |     ms |
|                                     25th percentile throughput |                      auto-date-histogram |     1.50012 |     ms |
|                                     50th percentile throughput |                      auto-date-histogram |     1.50017 |     ms |
|                                     75th percentile throughput |                      auto-date-histogram |     1.50032 |     ms |
|                                    100th percentile throughput |                      auto-date-histogram |     1.50241 |     ms |
|                                         0th percentile latency |                      auto-date-histogram |     7.60303 |     ms |
|                                        10th percentile latency |                      auto-date-histogram |     23.4166 |     ms |
|                                        20th percentile latency |                      auto-date-histogram |     30.0329 |     ms |
|                                        25th percentile latency |                      auto-date-histogram |     32.5601 |     ms |
|                                        30th percentile latency |                      auto-date-histogram |     35.1751 |     ms |
|                                        40th percentile latency |                      auto-date-histogram |     41.2647 |     ms |
|                                        50th percentile latency |                      auto-date-histogram |     49.6691 |     ms |
|                                        60th percentile latency |                      auto-date-histogram |     60.2686 |     ms |
|                                        70th percentile latency |                      auto-date-histogram |     76.4809 |     ms |
|                                        75th percentile latency |                      auto-date-histogram |     85.9655 |     ms |
|                                        80th percentile latency |                      auto-date-histogram |     97.3122 |     ms |
|                                        90th percentile latency |                      auto-date-histogram |     121.024 |     ms |
|                                        99th percentile latency |                      auto-date-histogram |     160.912 |     ms |
|                                      99.9th percentile latency |                      auto-date-histogram |     179.304 |     ms |
|                                       100th percentile latency |                      auto-date-histogram |      197.01 |     ms |
|                                   50th percentile service time |                      auto-date-histogram |     48.1747 |     ms |
|                                   90th percentile service time |                      auto-date-histogram |     119.571 |     ms |
|                                   99th percentile service time |                      auto-date-histogram |     159.278 |     ms |
|                                 99.9th percentile service time |                      auto-date-histogram |     177.947 |     ms |
|                                  100th percentile service time |                      auto-date-histogram |     195.852 |     ms |
|                                                     error rate |                      auto-date-histogram |           0 |      % |
|                                                 Min Throughput |              auto-date-histogram-with-tz |        1.47 |  ops/s |
|                                                Mean Throughput |              auto-date-histogram-with-tz |         1.5 |  ops/s |
|                                              Median Throughput |              auto-date-histogram-with-tz |         1.5 |  ops/s |
|                                                 Max Throughput |              auto-date-histogram-with-tz |         1.5 |  ops/s |
|                                      0th percentile throughput |              auto-date-histogram-with-tz |     1.47106 |     ms |
|                                     25th percentile throughput |              auto-date-histogram-with-tz |     1.49612 |     ms |
|                                     50th percentile throughput |              auto-date-histogram-with-tz |     1.49793 |     ms |
|                                     75th percentile throughput |              auto-date-histogram-with-tz |     1.49858 |     ms |
|                                    100th percentile throughput |              auto-date-histogram-with-tz |     1.49893 |     ms |
|                                         0th percentile latency |              auto-date-histogram-with-tz |     11.6951 |     ms |
|                                        10th percentile latency |              auto-date-histogram-with-tz |     54.9604 |     ms |
|                                        20th percentile latency |              auto-date-histogram-with-tz |     92.5202 |     ms |
|                                        25th percentile latency |              auto-date-histogram-with-tz |     117.235 |     ms |
|                                        30th percentile latency |              auto-date-histogram-with-tz |     144.462 |     ms |
|                                        40th percentile latency |              auto-date-histogram-with-tz |     206.428 |     ms |
|                                        50th percentile latency |              auto-date-histogram-with-tz |     284.815 |     ms |
|                                        60th percentile latency |              auto-date-histogram-with-tz |     365.069 |     ms |
|                                        70th percentile latency |              auto-date-histogram-with-tz |     461.161 |     ms |
|                                        75th percentile latency |              auto-date-histogram-with-tz |     515.583 |     ms |
|                                        80th percentile latency |              auto-date-histogram-with-tz |     572.471 |     ms |
|                                        90th percentile latency |              auto-date-histogram-with-tz |     701.156 |     ms |
|                                        99th percentile latency |              auto-date-histogram-with-tz |     977.637 |     ms |
|                                      99.9th percentile latency |              auto-date-histogram-with-tz |     1214.42 |     ms |
|                                       100th percentile latency |              auto-date-histogram-with-tz |     1387.25 |     ms |
|                                   50th percentile service time |              auto-date-histogram-with-tz |     261.769 |     ms |
|                                   90th percentile service time |              auto-date-histogram-with-tz |     674.217 |     ms |
|                                   99th percentile service time |              auto-date-histogram-with-tz |     933.259 |     ms |
|                                 99.9th percentile service time |              auto-date-histogram-with-tz |     1021.66 |     ms |
|                                  100th percentile service time |              auto-date-histogram-with-tz |     1064.27 |     ms |
|                                                     error rate |              auto-date-histogram-with-tz |           0 |      % |


-----------------------------------
[INFO] SUCCESS (took 19154 seconds)
-----------------------------------
kec2-user@ip-172-31-38-73:~\[?2004h(.venv) [ec2-user@ip-172-31-38-73 ~]$ 
[?2004lkec2-user@ip-172-31-38-73:~\[?2004h(.venv) [ec2-user@ip-172-31-38-73 ~]$ 
[?2004lkec2-user@ip-172-31-38-73:~\[?2004h(.venv) [ec2-user@ip-172-31-38-73 ~]$ ls
[?2004l[0m[01;34masync-profiler-3.0-linux-x64[0m         benchmark_output.txt          cluster_resource_usage.csv  iostat.out      memory_usage.txt  [01;34mos_repo[0m  [01;34mosb_core[0m
[01;31masync-profiler-3.0-linux-x64.tar.gz[0m  benchmark_resource_usage.txt  [01;34mflamegraphs[0m                 [01;34mjstack-outputs[0m  os_output.txt     [01;34mosb[0m      vmstat.out
kec2-user@ip-172-31-38-73:~\[?2004h(.venv) [ec2-user@ip-172-31-38-73 ~]$ cd[K[K
